Tag_year,UK_dep,Ice_arrive_spring,year,ID,Ice_dep_spring,Green_arrive,Green_dep,attempt_start,attempt_end,length,pre_breed_length
17795_2020,2020-04-07,2020-04-09,2020,17795,2020-05-03,2020-05-05,2020-09-01,2020-05-24,2020-06-04,12,19
17795_2021,2021-04-11,2021-04-12,2021,17795,2021-05-03,2021-05-05,2021-09-06,2021-05-21,2021-06-19,30,16
17796_2019,2019-04-07,2019-04-09,2019,17796,2019-05-07,2019-05-10,2019-09-07,2019-05-22,2019-06-09,19,12
17799_2020,2020-04-27,2020-04-28,2020,17799,2020-05-07,2020-05-09,2020-09-08,2020-06-05,2020-06-13,9,27
17799_2021,2021-03-31,2021-04-02,2021,17799,2021-05-06,2021-05-09,2021-09-13,2021-06-08,2021-06-09,2,30
17801_2020,2020-04-04,2020-04-06,2020,17801,2020-04-29,2020-04-30,2020-09-02,2020-05-28,2020-06-13,17,28
17801_2021,2021-04-10,2021-04-11,2021,17801,2021-05-02,2021-05-03,2021-09-06,2021-05-23,2021-05-28,6,20
17804_2019,2019-03-31,2019-04-01,2019,17804,2019-05-05,2019-05-09,2019-09-18,NA,NA,0,NA
17805_2019,2019-03-31,2019-04-01,2019,17805,2019-05-05,2019-05-06,2019-10-07,NA,NA,0,NA
17806_2019,2019-04-07,2019-04-09,2019,17806,2019-05-05,2019-05-06,2019-09-07,2019-05-18,2019-06-14,28,12
17807_2021,2021-04-11,2021-04-11,2021,17807,2021-04-30,2021-05-02,2021-09-06,NA,NA,0,NA
17809.1_2019,2019-03-31,2019-04-01,2019,17809.1,2019-05-05,2019-05-06,2019-09-06,NA,NA,0,NA
17809.1_2020,2020-03-20,2020-03-21,2020,17809.1,2020-05-02,2020-05-05,2020-09-02,2020-05-25,2020-06-19,26,20
17809.2_2021,2021-03-31,2021-04-02,2021,17809.2,2021-05-01,2021-05-02,2021-09-01,2021-06-10,2021-06-13,4,39
17812_2018,2018-04-08,2018-04-10,2018,17812,2018-05-07,2018-05-10,2018-09-17,NA,NA,0,NA
17812_2019,2019-03-25,2019-03-29,2019,17812,2019-05-05,2019-05-07,2019-09-09,NA,NA,0,NA
17813_2018,2018-03-29,2018-03-30,2018,17813,2018-05-07,2018-05-10,2018-09-12,2018-06-07,2018-06-19,13,28
17813_2019,2019-04-09,2019-04-09,2019,17813,2019-05-05,2019-05-07,2019-09-09,NA,NA,0,NA
17813_2020,2020-03-25,2020-03-27,2020,17813,2020-05-07,2020-05-09,2020-09-10,2020-05-27,2020-05-30,4,18
17813_2021,2021-04-03,2021-04-04,2021,17813,2021-05-05,2021-05-06,2021-09-09,2021-05-29,2021-06-13,16,23
17814_2018,2018-04-08,2018-04-09,2018,17814,2018-05-09,2018-05-11,2018-09-12,2018-06-11,2018-06-20,10,31
17824_2019,2019-04-07,2019-04-08,2019,17824,2019-05-05,2019-05-07,2019-09-12,2019-05-24,2019-06-20,28,17
17824_2020,2020-04-04,2020-04-06,2020,17824,2020-05-06,2020-05-07,2020-09-07,2020-05-24,2020-06-22,30,17
190291_2020,2020-04-09,2020-04-11,2020,190291,2020-05-02,2020-05-05,2020-09-02,2020-05-31,2020-06-04,5,26
190292_2020,2020-04-04,2020-04-06,2020,190292,2020-04-29,2020-04-30,2020-09-02,2020-06-02,2020-06-28,27,33
190292_2021,2021-04-10,2021-04-11,2021,190292,2021-04-30,2021-05-01,2021-09-06,NA,NA,0,NA
190294_2020,2020-04-13,2020-04-14,2020,190294,2020-05-08,2020-05-09,2020-09-09,2020-05-22,2020-05-27,6,13
190295.2_2020,2020-04-04,2020-04-06,2020,190295.2,2020-05-02,2020-05-06,2020-09-02,2020-06-01,2020-06-23,23,26
190839_2020,2020-04-09,2020-04-11,2020,190839,2020-05-08,2020-05-09,2020-08-31,NA,NA,0,NA
190839_2021,2021-03-30,2021-04-02,2021,190839,2021-05-05,2021-05-07,2021-09-06,2021-05-21,2021-06-07,18,14
190842_2020,2020-03-29,2020-03-30,2020,190842,2020-05-02,2020-05-05,2020-09-07,2020-05-23,2020-06-23,32,18
190842_2021,2021-04-01,2021-04-02,2021,190842,2021-04-30,2021-05-02,2021-09-03,2021-05-31,2021-06-13,14,29
190845_2021,2021-03-30,2021-04-02,2021,190845,2021-05-04,2021-05-05,2021-09-02,2021-06-03,2021-07-03,31,29
190850_2020,2020-04-09,2020-04-11,2020,190850,2020-05-06,2020-05-08,2020-09-08,NA,NA,0,NA
193089_2021,2021-03-31,2021-04-02,2021,193089,2021-05-01,2021-05-03,2021-09-02,2021-05-23,2021-06-02,11,20
